step,mo,inflow,precip,evap,released,supplied,storage,% full,d_stage,% redu,deficit
71,12,11534.141910397777,9148.877564068767,5862.23367453512,368.9595004132611,5856.396796364028,233099.53573485566,2.029442875769428,0,1.0,0.0
72,1,438.46482077076763,7064.407501700247,4182.854577549588,368.9595004132611,5793.58238242507,230257.01159693874,2.004694905582735,0,1.0,0.0
73,2,1723.8019133246855,449.8289493781922,3229.075283547485,333.25374230875195,6659.1800246245,222209.13340916086,1.9346273741234534,0,1.0,0.0
74,3,10102.267332968308,4285.724595064879,9885.227560023137,368.9595004132611,10566.56253347375,215776.3757432839,1.8786216245821297,0,1.0,0.0
75,4,2382.7151206171316,7567.6623499256675,3100.9841572432197,595.0959684084856,6483.553548942954,215547.11953923202,1.6389099026930871,0,1.0,0.0
76,5,2067.9849573926144,6526.806570486049,5643.652843532502,614.9325006887685,5539.373084964809,212343.9526379246,1.614554662104609,0,1.0,0.0
77,6,6603.481150283348,2094.142006756243,5282.91489498876,595.0959684084856,8108.2253388841655,207055.3395926828,1.574342757116563,0,1.0,0.0
78,7,15198.521992663953,5417.278432392399,3016.528662488068,614.9325006887685,6004.318715676677,218035.36013888565,1.6578292098393517,0,1.0,0.0
79,8,4874.93845278966,2867.0842861005513,4840.31506374423,614.9325006887685,7224.134038705644,213098.0012746372,1.6202880617457747,0,1.0,0.0
80,9,5358.3221120228845,367.6170166187512,2748.6680477694026,357.05758104509135,7167.953400152112,208550.26137431222,1.815708645028684,0,1.0,0.0
81,10,2814.6364830272087,6442.254632296856,4149.875677739619,368.9595004132611,5861.148557428438,207427.16875405496,1.805930623335827,0,1.0,0.0
82,11,4679.408877545408,2812.6231049180788,3869.5585097701405,357.05758104509135,6008.587012023898,204683.99763367933,1.7820476539008505,0,1.0,0.0
83,12,6614.938981034868,5900.039861853787,2314.2887800541357,368.9595004132611,6134.350952229741,208381.37724387084,1.8142382830467338,0,1.0,0.0
84,1,4833.594663188255,6311.964568498486,-0.6695790226804093,368.9595004132611,6736.589572716485,212422.05698145053,1.849417798444931,0,1.0,0.0
85,2,7603.926095746397,2829.378430847719,1526.4568381816498,333.25374230875195,5138.5096685007375,215857.1412590535,1.8793247962983226,0,1.0,0.0
