mo,inflow,precip,evap,outlow,demand,storage,% full,% redu
1,46274.25517369821,714.3315331446647,676.3399473933678,49586.77685950412,5058.771296973011,155049.74486565363,1.3499151729988454,1.0
2,47480.138201312955,3568.5822262943257,4966.412758159509,41652.89256198347,5712.924568813956,153766.23540430397,1.3387405083899822,1.0
3,115529.89150251613,1891.601521895791,1030.6294335562852,39669.42148760331,5344.824788789124,225142.8527187672,1.9601693201149721,1.0
4,49368.20132780184,6851.427258611453,3206.4980581175478,97190.08264462808,5987.776867087541,174978.12373534727,1.33044403635522,1.0
5,80271.78518105242,1726.4491353561752,2466.494506171439,47603.305785123965,5962.853904234211,200943.70385622626,1.5278730091025632,1.0
6,8130.605879513522,1869.0924823066161,2144.7610923581233,71404.95867768595,5204.967673278238,132188.7147747241,1.005095285576922,1.0
7,72717.67081454936,4783.948461784894,4388.280468344514,5950.413223140496,5270.758921618338,194080.88143795502,1.475691622286667,1.0
8,69261.87803014899,2569.381678841397,4998.109719740431,65454.54545454545,7501.943298913892,187957.54267374566,1.4291328904434397,1.0
9,42847.439281567575,4239.646777974733,2322.1836327942146,59504.13223140493,5486.917869276663,167731.39499981218,1.4603258798955046,1.0
10,8601.81790313501,5629.385403607419,1272.0347266275494,53553.719008264445,6282.940884879479,120853.90368678312,1.0521946904478183,1.0
11,98012.52340838354,7298.6382312080095,240.27540832330124,7933.884297520661,7166.07590132381,210824.8297192069,1.8355118012573943,1.0
12,58468.810549308204,6994.063886304735,1515.0432181832439,61487.603305785095,6324.431789810852,206960.62584104066,1.8018687439842758,1.0
1,61369.51953763237,1673.8671836134745,1398.4361529156158,61487.603305785095,5257.2052384004755,201860.7678651853,1.7574676669769485,1.0
2,101314.61887441823,516.4637374669255,4810.015468536061,55537.19008264461,7931.5292526598205,235413.11567322994,2.049585680038234,1.0
3,7655.546852249774,1952.4028606331558,1162.2001317495597,67438.01652892558,5432.275089950801,170988.57363548692,1.48868397145686,1.0
4,47116.70400996751,5840.43147181251,-0.13432346787885763,41652.89256198347,7148.874502790894,175144.07637596046,1.331705855240392,1.0
5,51372.74381060565,3466.0932999646466,3518.7357511621085,47603.305785123965,5307.265871572491,173553.6060786722,1.3196127336726482,1.0
6,98794.51276428057,1846.1842208724993,4586.348691447318,47603.305785123965,7998.055429896807,214006.5931573572,1.6271965290789476,1.0
7,6825.620684277608,6823.893928281701,-9.042078142694663,83305.78512396694,7321.215693526023,137038.14903056622,1.0419678999795103,1.0
8,43110.20381119115,2120.040835575288,3150.6640491325816,5950.413223140496,6505.54974955166,166661.7666555079,1.26721071641285,1.0
9,7046.437956860245,1305.2835339499288,2686.8789399359375,53553.719008264445,6451.184219871915,112321.70597824577,0.977910510517304,1.0
